horizon_step,MAE_per_step,RMSE_per_step,Anom_MAE_per_step,Anom_RMSE_per_step,Overall_MAE,Overall_RMSE,Overall_Anomaly_MAE,Overall_Anomaly_RMSE
1,0.81155396,1.5150044,3.365515,4.2900176,2.2021778,3.94894,13.540864,14.235702
2,1.0870296,2.0203803,4.650432,5.7528577,2.2021778,3.94894,13.540864,14.235702
3,1.3098649,2.4156451,6.0120006,7.129702,2.2021778,3.94894,13.540864,14.235702
4,1.496487,2.7266011,7.3508387,8.399173,2.2021778,3.94894,13.540864,14.235702
5,1.642389,2.960917,8.078861,9.132871,2.2021778,3.94894,13.540864,14.235702
6,1.7813655,3.1856906,9.012506,9.982991,2.2021778,3.94894,13.540864,14.235702
7,1.9032677,3.388096,10.011687,10.901902,2.2021778,3.94894,13.540864,14.235702
8,2.0275753,3.612406,11.451322,12.220774,2.2021778,3.94894,13.540864,14.235702
9,2.138371,3.804962,12.530547,13.237233,2.2021778,3.94894,13.540864,14.235702
10,2.2331328,3.9549637,13.078958,13.793602,2.2021778,3.94894,13.540864,14.235702
11,2.3182402,4.1105185,14.017432,14.684953,2.2021778,3.94894,13.540864,14.235702
12,2.3959348,4.252113,14.9696245,15.580203,2.2021778,3.94894,13.540864,14.235702
13,2.4567378,4.369188,15.666805,16.245962,2.2021778,3.94894,13.540864,14.235702
14,2.5173779,4.47213,16.13101,16.700869,2.2021778,3.94894,13.540864,14.235702
15,2.557701,4.561053,16.663197,17.204695,2.2021778,3.94894,13.540864,14.235702
16,2.591746,4.6350155,17.053373,17.578907,2.2021778,3.94894,13.540864,14.235702
17,2.6171858,4.692075,17.35234,17.864538,2.2021778,3.94894,13.540864,14.235702
18,2.6387246,4.7431154,17.607052,18.109724,2.2021778,3.94894,13.540864,14.235702
19,2.6655452,4.7987733,17.925549,18.414892,2.2021778,3.94894,13.540864,14.235702
20,2.685585,4.8413386,18.149372,18.624855,2.2021778,3.94894,13.540864,14.235702
21,2.7131417,4.87395,18.226171,18.704124,2.2021778,3.94894,13.540864,14.235702
22,2.734992,4.912301,18.410446,18.882185,2.2021778,3.94894,13.540864,14.235702
23,2.7563694,4.94846,18.576525,19.051233,2.2021778,3.94894,13.540864,14.235702
24,2.7719448,4.97986,18.68919,19.168577,2.2021778,3.94894,13.540864,14.235702
