horizon_step,MAE_per_step,RMSE_per_step,Anom_MAE_per_step,Anom_RMSE_per_step,Overall_MAE,Overall_RMSE,Overall_Anomaly_MAE,Overall_Anomaly_RMSE
1,1.7730688,3.164249,8.63862,9.893306,2.4983656,4.4646583,15.493874,16.174316
2,1.8828434,3.3444133,9.223855,10.420845,2.4983656,4.4646583,15.493874,16.174316
3,1.9866067,3.5237274,10.058836,11.1829815,2.4983656,4.4646583,15.493874,16.174316
4,2.0917945,3.7002897,10.890311,11.950193,2.4983656,4.4646583,15.493874,16.174316
5,2.192373,3.8670194,11.772681,12.747046,2.4983656,4.4646583,15.493874,16.174316
6,2.2722218,4.0156007,12.811733,13.663609,2.4983656,4.4646583,15.493874,16.174316
7,2.3511662,4.1570473,13.649061,14.419004,2.4983656,4.4646583,15.493874,16.174316
8,2.4210951,4.2804418,14.347806,15.059858,2.4983656,4.4646583,15.493874,16.174316
9,2.4827545,4.3960986,15.052168,15.706912,2.4983656,4.4646583,15.493874,16.174316
10,2.543646,4.503344,15.616764,16.240839,2.4983656,4.4646583,15.493874,16.174316
11,2.5808766,4.583231,16.17976,16.75452,2.4983656,4.4646583,15.493874,16.174316
12,2.6126108,4.65108,16.649323,17.185009,2.4983656,4.4646583,15.493874,16.174316
13,2.6478848,4.714264,16.95881,17.48066,2.4983656,4.4646583,15.493874,16.174316
14,2.672946,4.7632136,17.2093,17.71787,2.4983656,4.4646583,15.493874,16.174316
15,2.6851873,4.804971,17.53587,18.023684,2.4983656,4.4646583,15.493874,16.174316
16,2.706901,4.8456454,17.69367,18.187485,2.4983656,4.4646583,15.493874,16.174316
17,2.7271647,4.883505,17.858074,18.355932,2.4983656,4.4646583,15.493874,16.174316
18,2.739986,4.9198823,18.077763,18.575315,2.4983656,4.4646583,15.493874,16.174316
19,2.7499518,4.9480567,18.249706,18.747877,2.4983656,4.4646583,15.493874,16.174316
20,2.747573,4.9694037,18.477207,18.966543,2.4983656,4.4646583,15.493874,16.174316
21,2.7697396,5.005588,18.55354,19.059063,2.4983656,4.4646583,15.493874,16.174316
22,2.76293,5.010927,18.693834,19.187231,2.4983656,4.4646583,15.493874,16.174316
23,2.777825,5.04071,18.778444,19.2799,2.4983656,4.4646583,15.493874,16.174316
24,2.7816336,5.059084,18.875858,19.377928,2.4983656,4.4646583,15.493874,16.174316
