horizon_step,MAE_per_step,RMSE_per_step,Anom_MAE_per_step,Anom_RMSE_per_step,Overall_MAE,Overall_RMSE,Overall_Anomaly_MAE,Overall_Anomaly_RMSE
1,0.7601523,1.4593998,2.8664122,3.870755,2.2106788,4.011808,13.803047,14.494891
2,1.0598242,1.9972788,4.3190722,5.4729166,2.2106788,4.011808,13.803047,14.494891
3,1.2901434,2.398516,5.5364833,6.729883,2.2106788,4.011808,13.803047,14.494891
4,1.4794049,2.7180407,6.8767424,7.993066,2.2106788,4.011808,13.803047,14.494891
5,1.640761,2.9790986,7.9218636,8.984742,2.2106788,4.011808,13.803047,14.494891
6,1.7891223,3.216847,9.186783,10.111253,2.2106788,4.011808,13.803047,14.494891
7,1.917381,3.4318905,10.3223095,11.140776,2.2106788,4.011808,13.803047,14.494891
8,2.044968,3.662468,11.723962,12.432324,2.2106788,4.011808,13.803047,14.494891
9,2.1565204,3.859882,12.877222,13.527812,2.2106788,4.011808,13.803047,14.494891
10,2.2564948,4.0261254,13.613272,14.268291,2.2106788,4.011808,13.803047,14.494891
11,2.3461812,4.203285,14.691319,15.301259,2.2106788,4.011808,13.803047,14.494891
12,2.4182708,4.3340096,15.44319,16.031683,2.2106788,4.011808,13.803047,14.494891
13,2.4827807,4.46558,16.212276,16.773117,2.2106788,4.011808,13.803047,14.494891
14,2.5362148,4.568272,16.742685,17.292437,2.2106788,4.011808,13.803047,14.494891
15,2.5836024,4.6543007,17.169039,17.709166,2.2106788,4.011808,13.803047,14.494891
16,2.6130776,4.7245407,17.509815,18.033897,2.2106788,4.011808,13.803047,14.494891
17,2.6381009,4.78554,17.789513,18.30965,2.2106788,4.011808,13.803047,14.494891
18,2.6573973,4.8315744,17.997211,18.510818,2.2106788,4.011808,13.803047,14.494891
19,2.6855342,4.8912735,18.302555,18.802877,2.2106788,4.011808,13.803047,14.494891
20,2.7056177,4.9453163,18.547737,19.037373,2.2106788,4.011808,13.803047,14.494891
21,2.7242281,4.986178,18.703468,19.186998,2.2106788,4.011808,13.803047,14.494891
22,2.7436714,5.0225253,18.851343,19.331512,2.2106788,4.011808,13.803047,14.494891
23,2.7564042,5.0480647,18.971617,19.448683,2.2106788,4.011808,13.803047,14.494891
24,2.7704396,5.0733886,19.097235,19.576115,2.2106788,4.011808,13.803047,14.494891
