horizon_step,MAE_per_step,RMSE_per_step,Anom_MAE_per_step,Anom_RMSE_per_step,Overall_MAE,Overall_RMSE,Overall_Anomaly_MAE,Overall_Anomaly_RMSE
1,0.758155,1.4597454,2.3838928,3.3949869,2.292646,4.040273,13.086743,13.843281
2,1.0629475,2.0212936,3.6928997,4.8975167,2.292646,4.040273,13.086743,13.843281
3,1.3059686,2.4463983,4.864375,6.1386347,2.292646,4.040273,13.086743,13.843281
4,1.5075452,2.7657104,6.210399,7.4101496,2.292646,4.040273,13.086743,13.843281
5,1.6787852,3.0369616,7.1317945,8.29887,2.292646,4.040273,13.086743,13.843281
6,1.8332474,3.2730184,8.18577,9.249515,2.292646,4.040273,13.086743,13.843281
7,1.9702477,3.4878793,9.352004,10.305586,2.292646,4.040273,13.086743,13.843281
8,2.0984955,3.6905732,10.611614,11.452584,2.292646,4.040273,13.086743,13.843281
9,2.223921,3.880944,11.880914,12.613147,2.292646,4.040273,13.086743,13.843281
10,2.3371754,4.0527525,12.659889,13.366494,2.292646,4.040273,13.086743,13.843281
11,2.4255097,4.2152333,13.858966,14.49297,2.292646,4.040273,13.086743,13.843281
12,2.5076468,4.345137,14.648945,15.257968,2.292646,4.040273,13.086743,13.843281
13,2.5767932,4.4690065,15.44903,16.038162,2.292646,4.040273,13.086743,13.843281
14,2.6396646,4.575904,15.947948,16.540062,2.292646,4.040273,13.086743,13.843281
15,2.694944,4.667187,16.545195,17.124313,2.292646,4.040273,13.086743,13.843281
16,2.724865,4.7430577,16.903763,17.478235,2.292646,4.040273,13.086743,13.843281
17,2.7591627,4.8161707,17.228148,17.81154,2.292646,4.040273,13.086743,13.843281
18,2.7813158,4.867578,17.48758,18.065563,2.292646,4.040273,13.086743,13.843281
19,2.807616,4.924449,17.724361,18.29673,2.292646,4.040273,13.086743,13.843281
20,2.8230546,4.973211,17.96091,18.51687,2.292646,4.040273,13.086743,13.843281
21,2.856718,5.0058894,18.066898,18.610825,2.292646,4.040273,13.086743,13.843281
22,2.8629096,5.0566063,18.338305,18.870428,2.292646,4.040273,13.086743,13.843281
23,2.8871915,5.0787473,18.386007,18.915743,2.292646,4.040273,13.086743,13.843281
24,2.8996227,5.1131,18.56222,19.091831,2.292646,4.040273,13.086743,13.843281
