horizon_step,MAE_per_step,RMSE_per_step,Anom_MAE_per_step,Anom_RMSE_per_step,Overall_MAE,Overall_RMSE,Overall_Anomaly_MAE,Overall_Anomaly_RMSE
1,0.783342875017436,1.496806268947514,3.049162487204238,4.150233393636035,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
2,1.05443885217839,2.000441689428119,4.2421999014293945,5.48964081990916,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
3,1.2823383511731101,2.399189948362454,5.647763372495343,6.866238956862214,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
4,1.4776232285308073,2.7253461080300214,7.156052830004559,8.262519712317031,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
5,1.6428432574948735,3.0035582660869298,8.6485168557975,9.625721911980447,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
6,1.7809439829818001,3.2295328152291107,9.571770734192466,10.491455120970338,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
7,1.9070147401577962,3.439042462355463,10.494556517733411,11.363385672319875,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
8,2.027485506989586,3.6543235297825194,11.72575791884874,12.513357873702837,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
9,2.134903500549143,3.845071457074412,12.72139421986902,13.47319756589141,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
10,2.238098974336909,4.031661104878294,13.713762763348058,14.439200087606162,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
11,2.3218900907593123,4.181051188304974,14.494498559755426,15.189207821745516,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
12,2.392683081145417,4.310811566433213,15.203611426013293,15.861784679415363,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
13,2.4612076485788608,4.430755262660922,15.799231984147859,16.443270593783165,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
14,2.515803220880128,4.526241494625443,16.262155364116815,16.8838525772985,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
15,2.552193817856225,4.600339620739562,16.68288697905542,17.272640440011696,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
16,2.5921181229923347,4.675643814350102,17.038408909943914,17.616665334954064,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
17,2.6153683129104857,4.735995508299318,17.359603823890343,17.910484479184408,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
18,2.6360690546016,4.788554288220536,17.61883708759945,18.154466259250633,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
19,2.663818735087927,4.841492097655577,17.843441256295407,18.370951157095465,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
20,2.6801641708603876,4.8815989951234515,18.09104208058549,18.59943585646886,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
21,2.6970993684428306,4.925239958635601,18.366492974869157,18.85758178797413,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
22,2.7226615477508522,4.969302308444043,18.530575306080486,19.023886907520904,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
23,2.741978435847864,5.012061886327454,18.722910549745553,19.217989389025206,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
24,2.753129468901699,5.046919543393179,18.89251130414895,19.393308470165582,2.1948007644177405,3.989624215974509,13.66154771696543,14.394603202878708
