horizon_step,MAE_per_step,RMSE_per_step,Anom_MAE_per_step,Anom_RMSE_per_step,Overall_MAE,Overall_RMSE,Overall_Anomaly_MAE,Overall_Anomaly_RMSE
1,1.782212,3.159873,8.932028,10.21975,2.550539,4.5133867,15.6888275,16.391855
2,1.8968276,3.3417509,9.55621,10.773923,2.550539,4.5133867,15.6888275,16.391855
3,2.0010483,3.5163248,10.208063,11.375117,2.550539,4.5133867,15.6888275,16.391855
4,2.0996065,3.6938758,10.974758,12.090526,2.550539,4.5133867,15.6888275,16.391855
5,2.2010279,3.8584008,11.797338,12.82593,2.550539,4.5133867,15.6888275,16.391855
6,2.293982,4.0253315,12.796105,13.717852,2.550539,4.5133867,15.6888275,16.391855
7,2.3819478,4.1777744,13.81844,14.625023,2.550539,4.5133867,15.6888275,16.391855
8,2.4571998,4.31983,14.555504,15.306744,2.550539,4.5133867,15.6888275,16.391855
9,2.527389,4.4397388,15.193242,15.889604,2.550539,4.5133867,15.6888275,16.391855
10,2.5897903,4.5444527,15.73685,16.38465,2.550539,4.5133867,15.6888275,16.391855
11,2.6417656,4.645724,16.42874,17.013483,2.550539,4.5133867,15.6888275,16.391855
12,2.6812942,4.7168927,16.854916,17.405804,2.550539,4.5133867,15.6888275,16.391855
13,2.7158666,4.784307,17.193445,17.727116,2.550539,4.5133867,15.6888275,16.391855
14,2.740193,4.8280582,17.466969,17.984858,2.550539,4.5133867,15.6888275,16.391855
15,2.7635188,4.8834352,17.738089,18.253738,2.550539,4.5133867,15.6888275,16.391855
16,2.7800703,4.917976,17.91625,18.428827,2.550539,4.5133867,15.6888275,16.391855
17,2.7981446,4.9633555,18.124464,18.63241,2.550539,4.5133867,15.6888275,16.391855
18,2.8083665,4.9973865,18.365192,18.865318,2.550539,4.5133867,15.6888275,16.391855
19,2.818818,5.0275106,18.529211,19.031515,2.550539,4.5133867,15.6888275,16.391855
20,2.8262236,5.048541,18.655884,19.156038,2.550539,4.5133867,15.6888275,16.391855
21,2.83817,5.0808835,18.77909,19.283848,2.550539,4.5133867,15.6888275,16.391855
22,2.846157,5.096521,18.896019,19.393297,2.550539,4.5133867,15.6888275,16.391855
23,2.8604622,5.115947,18.940382,19.443174,2.550539,4.5133867,15.6888275,16.391855
24,2.8628557,5.137388,19.07464,19.575981,2.550539,4.5133867,15.6888275,16.391855
