horizon_step,MAE_per_step,RMSE_per_step,Anom_MAE_per_step,Anom_RMSE_per_step,Overall_MAE,Overall_RMSE,Overall_Anomaly_MAE,Overall_Anomaly_RMSE
1,0.8353648,1.5108179,2.687403,3.7944562,2.222933,4.0233593,13.616658,14.388402
2,1.0949717,2.032423,4.3281603,5.5383,2.222933,4.0233593,13.616658,14.388402
3,1.3199078,2.429185,5.6261406,6.871084,2.222933,4.0233593,13.616658,14.388402
4,1.5050985,2.7392898,6.8696413,8.069784,2.222933,4.0233593,13.616658,14.388402
5,1.6598605,2.9988265,8.02003,9.193603,2.222933,4.0233593,13.616658,14.388402
6,1.8093683,3.2453747,9.356361,10.3873005,2.222933,4.0233593,13.616658,14.388402
7,1.930525,3.4464777,10.003044,11.0082035,2.222933,4.0233593,13.616658,14.388402
8,2.0521173,3.6777058,11.427307,12.323899,2.222933,4.0233593,13.616658,14.388402
9,2.158745,3.8755417,12.463049,13.311497,2.222933,4.0233593,13.616658,14.388402
10,2.2534451,4.0257106,12.855999,13.731098,2.222933,4.0233593,13.616658,14.388402
11,2.3441806,4.18914,13.801838,14.609037,2.222933,4.0233593,13.616658,14.388402
12,2.4158955,4.3442183,15.120917,15.801002,2.222933,4.0233593,13.616658,14.388402
13,2.480963,4.465949,15.892488,16.517204,2.222933,4.0233593,13.616658,14.388402
14,2.5396657,4.577349,16.430231,17.041798,2.222933,4.0233593,13.616658,14.388402
15,2.586786,4.6838837,17.106749,17.68309,2.222933,4.0233593,13.616658,14.388402
16,2.6155956,4.748392,17.500454,18.046078,2.222933,4.0233593,13.616658,14.388402
17,2.6501615,4.790182,17.571169,18.122963,2.222933,4.0233593,13.616658,14.388402
18,2.6668541,4.8366075,17.863302,18.396326,2.222933,4.0233593,13.616658,14.388402
19,2.6894474,4.9053683,18.255146,18.775206,2.222933,4.0233593,13.616658,14.388402
20,2.7046669,4.936284,18.426804,18.929955,2.222933,4.0233593,13.616658,14.388402
21,2.7296238,4.9708943,18.546722,19.045961,2.222933,4.0233593,13.616658,14.388402
22,2.7483459,5.015496,18.779953,19.271088,2.222933,4.0233593,13.616658,14.388402
23,2.768603,5.0427394,18.875277,19.367039,2.222933,4.0233593,13.616658,14.388402
24,2.790202,5.0727654,18.991613,19.48569,2.222933,4.0233593,13.616658,14.388402
